url	first_seen	portal	title	company	status	location
https://in.linkedin.com/jobs/view/ai-engineer-ai-data-platforms-at-kkr-4422277100	2026-06-16	apify-linkedin	AI Engineer - AI, Data & Platforms	KKR	added	Gurugram, Haryana, India
https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accenture-in-india-4427953389	2026-06-16	apify-linkedin	AI / ML Engineer	Accenture in India	added	Pune Division, Maharashtra, India
https://in.linkedin.com/jobs/view/backend-developer-ai-camera-app-at-huki-lab-4422279519	2026-06-16	apify-linkedin	Backend Developer (AI Camera App)	Huki Lab	added	Gurugram, Haryana, India
https://in.linkedin.com/jobs/view/agentic-ai-engineer-at-mindsprint-4427489045	2026-06-16	apify-linkedin	Agentic AI Engineer	Mindsprint	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/genai-agentic-ai-engineer-at-persistent-systems-4416587006	2026-06-16	apify-linkedin	GenAI/Agentic AI Engineer	Persistent Systems	added	Nagpur, Maharashtra, India
https://in.linkedin.com/jobs/view/machine-learning-engineer-at-codvo-ai-4426787881	2026-06-16	apify-linkedin	Machine Learning Engineer	Codvo.ai	added	India
https://in.linkedin.com/jobs/view/generative-ai-engineer-at-objectways-4427446094	2026-06-16	apify-linkedin	Generative AI Engineer	Objectways	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/machine-learning-engineer-at-caratlane-a-tata-product-4423102269	2026-06-16	apify-linkedin	Machine Learning Engineer	CaratLane - A TATA Product	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/ai-engineer-at-zensar-technologies-4380672019	2026-06-16	apify-linkedin	AI Engineer	Zensar Technologies	added	Pune Division, Maharashtra, India
https://in.linkedin.com/jobs/view/generative-ai-engineer-at-polestar-analytics-4425768469	2026-06-16	apify-linkedin	Generative AI Engineer	Polestar Analytics	added	Noida, Uttar Pradesh, India
https://in.linkedin.com/jobs/view/ai-engineer-20lpa-50lpa-at-coderound-ai-4428804589	2026-06-16	apify-linkedin	AI Engineer (20LPA - 50LPA)	CodeRound AI	added	India
https://in.linkedin.com/jobs/view/ai-engineer-at-memorae-ai-4426644576	2026-06-16	apify-linkedin	AI Engineer	Memorae AI	added	New Delhi, Delhi, India
https://job-boards.greenhouse.io/phonepe/jobs/7762335003	2026-06-17	greenhouse-api	Service Delivery Engineer, SRE	PhonePe	added	Bangalore
https://job-boards.greenhouse.io/phonepe/jobs/7766868003	2026-06-17	greenhouse-api	Site Reliability Engineer	PhonePe	added	Bangalore
https://job-boards.greenhouse.io/phonepe/jobs/7731736003	2026-06-17	greenhouse-api	Site Reliability Engineer 2	PhonePe	added	Bangalore
https://job-boards.greenhouse.io/phonepe/jobs/5854614003	2026-06-17	greenhouse-api	Site Reliability Engineer 3 	PhonePe	added	Bangalore
https://job-boards.greenhouse.io/phonepe/jobs/7752457003	2026-06-17	greenhouse-api	Site Reliability Engineer 3 - (on-prem) 	PhonePe	added	Bangalore
https://job-boards.greenhouse.io/phonepe/jobs/6589348003	2026-06-17	greenhouse-api	Site Reliability Engineer - Azure (4-8yrs)	PhonePe	added	Bangalore
https://jobs.smartrecruiters.com/unacademy/postings/743999672726735	2026-06-17	smartrecruiters-api	Software Engineer, Backend	Unacademy	added	Bengaluru, KA, India
https://jobs.lever.co/mindtickle/477ff38c-f0d4-4655-b714-ed6205975c11	2026-06-17	lever-api	Software Development Engineer - II (Tech Solution)	Mindtickle	added	Pune, Maharashtra
https://jobs.lever.co/zeta/ffb2ba62-1678-49d7-896b-36d808d946b4	2026-06-17	lever-api	Site Reliability Engineer II	Zeta	added	Hyderabad
https://jobs.lever.co/zeta/570f6cf7-5525-4357-81c4-658534458043	2026-06-17	lever-api	Software Development Engineer in Test II	Zeta	added	Hyderabad
https://jobs.lever.co/meesho/c68ee07f-0e16-455b-bc4a-87848aaf46fa	2026-06-17	lever-api	Software Development Engineer III -Backend	Meesho	added	Bangalore, Karnataka
https://jobs.lever.co/meesho/7bb1de7e-8756-412b-8c71-0ba40863edc8	2026-06-17	lever-api	Software Development Engineer III Data	Meesho	added	Bangalore, Karnataka
https://jobs.lever.co/meesho/60e0d986-abe8-42ee-b172-0d9aecb307b7	2026-06-17	lever-api	Software Development Engineer III DevOps	Meesho	added	Bangalore, Karnataka
https://in.linkedin.com/jobs/view/ai-engineer-at-cg-vak-software-exports-ltd-4428051722	2026-06-17	apify-linkedin	AI Engineer	CG-VAK Software & Exports Ltd.	added	Pune Division, Maharashtra, India
https://in.linkedin.com/jobs/view/ai-engineer-at-learningmate-4426836145	2026-06-17	apify-linkedin	AI Engineer	LearningMate	added	Mumbai, Maharashtra, India
https://in.linkedin.com/jobs/view/generative-ai-engineer-at-dxc-technology-4428035118	2026-06-17	apify-linkedin	Generative AI Engineer	DXC Technology	added	Delhi, India
https://in.linkedin.com/jobs/view/voice-ai-engineer-at-aadrila-technologies-4425770415	2026-06-17	apify-linkedin	Voice AI Engineer	Aadrila Technologies	added	Mumbai, Maharashtra, India
https://in.linkedin.com/jobs/view/data-machine-learning-engineer-india-at-lynx-analytics-4423504918	2026-06-17	apify-linkedin	Data / Machine Learning Engineer (India)	Lynx Analytics	added	Pune Division, Maharashtra, India
https://in.linkedin.com/jobs/view/ai-ml-engineer-at-ltm-4427310658	2026-06-17	apify-linkedin	AI / ML Engineer	LTM	added	Pune District, Maharashtra, India
https://in.linkedin.com/jobs/view/gen-ai-engineer-at-objectways-4428441684	2026-06-17	apify-linkedin	Gen AI Engineer	Objectways	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/machine-learning-engineer-at-cognite-4429785286	2026-06-17	apify-linkedin	Machine Learning Engineer	Cognite	added	Bengaluru, Karnataka, India
https://in.linkedin.com/jobs/view/ai-engineer-at-credgenics-4429231831	2026-06-17	apify-linkedin	AI Engineer	Credgenics	added	Noida, Uttar Pradesh, India
https://in.linkedin.com/jobs/view/gen-ai-engineer-at-johnson-electric-4429239594	2026-06-17	apify-linkedin	GEN AI Engineer	Johnson Electric	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/generative-ai-engineer-at-sia-4429226727	2026-06-17	apify-linkedin	Generative AI Engineer	Sia	added	Mumbai, Maharashtra, India
https://in.linkedin.com/jobs/view/ai-engineer-at-lexsi-labs-4426219158	2026-06-17	apify-linkedin	AI Engineer	Lexsi Labs	added	Mumbai Metropolitan Region
https://in.linkedin.com/jobs/view/generative-ai-engineer-at-valiance-solutions-4386914834	2026-06-17	apify-linkedin	Generative AI Engineer	Valiance Solutions	added	Greater Delhi Area
https://in.linkedin.com/jobs/view/ai-engineer-agentic-systems-full-stack-at-syntasa-4428825813	2026-06-18	apify-linkedin	AI Engineer (Agentic Systems, Full-Stack)	Syntasa	added	India
https://in.linkedin.com/jobs/view/ai-engineer-at-automatr-4427345035	2026-06-18	apify-linkedin	AI Engineer	AutomatR	added	Hyderabad, Telangana, India
https://in.linkedin.com/jobs/view/ai-engineer-at-bigstep-technologies-4427345294	2026-06-18	apify-linkedin	AI Engineer	BigStep Technologies	added	Gurugram, Haryana, India
https://in.linkedin.com/jobs/view/associate-ai-ml-engineer-at-optum-india-4429783073	2026-06-18	apify-linkedin	Associate AI/ML Engineer	Optum India	added	Bengaluru, Karnataka, India
https://in.linkedin.com/jobs/view/ai-engineer-at-indnord-4428480466	2026-06-18	apify-linkedin	AI Engineer	Indnord	added	Bengaluru, Karnataka, India
https://in.linkedin.com/jobs/view/gen-ai-developer-at-scoutit-4428479613	2026-06-18	apify-linkedin	Gen AI Developer	Scoutit	added	New Delhi, Delhi, India
https://in.linkedin.com/jobs/view/ai-developer-at-ekkam-biztech-private-limited-4429032145	2026-06-18	apify-linkedin	AI Developer	Ekkam BizTech Private Limited	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/generative-ai-engineers-at-zensar-technologies-4428443711	2026-06-18	apify-linkedin	Generative AI Engineers	Zensar Technologies	added	Bengaluru, Karnataka, India
https://in.linkedin.com/jobs/view/ai-engineer-at-ntt-data-north-america-4419142316	2026-06-18	apify-linkedin	AI Engineer	NTT DATA North America	added	Bangalore Urban, Karnataka, India
https://in.linkedin.com/jobs/view/ai-engineer-associate-2-at-pwc-acceleration-center-india-4414011872	2026-06-18	apify-linkedin	AI Engineer - Associate 2	PwC Acceleration Center India	added	Andhra Pradesh, India
https://in.linkedin.com/jobs/view/ai-engineer-at-aditi-consulting-4429909504	2026-06-18	apify-linkedin	AI Engineer	Aditi Consulting	added	Bengaluru, Karnataka, India
https://in.linkedin.com/jobs/view/ai-ml-engineer-at-prosangam-4428724696	2026-06-18	apify-linkedin	AI/ML Engineer	Prosangam	added	Gurugram, Haryana, India
